timestamp,origem,cpu_milicores,memoria_mib
1783618864,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618864,argocd-redis-6f6867546c-dp4gw,4,5
1783618864,argocd-repo-server-59444f4bbb-clf2r,5,44
1783618864,argocd-server-765575f778-ghm4z,1,37
1783618879,argocd-application-controller-0,19,126
1783618879,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618879,argocd-dex-server-99ff57675-dxbfz,1,18
1783618879,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618879,argocd-redis-6f6867546c-dp4gw,4,5
1783618879,argocd-repo-server-59444f4bbb-clf2r,3,45
1783618879,argocd-server-765575f778-ghm4z,1,37
1783618895,argocd-application-controller-0,28,121
1783618895,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618895,argocd-dex-server-99ff57675-dxbfz,1,18
1783618895,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618895,argocd-redis-6f6867546c-dp4gw,4,5
1783618895,argocd-repo-server-59444f4bbb-clf2r,1,45
1783618895,argocd-server-765575f778-ghm4z,1,37
1783618910,argocd-application-controller-0,15,129
1783618910,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618910,argocd-dex-server-99ff57675-dxbfz,0,18
1783618910,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618910,argocd-redis-6f6867546c-dp4gw,3,5
1783618910,argocd-repo-server-59444f4bbb-clf2r,1,46
1783618910,argocd-server-765575f778-ghm4z,1,37
1783618925,argocd-application-controller-0,3,129
1783618925,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618925,argocd-dex-server-99ff57675-dxbfz,0,18
1783618925,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618925,argocd-redis-6f6867546c-dp4gw,3,5
1783618925,argocd-repo-server-59444f4bbb-clf2r,1,46
1783618925,argocd-server-765575f778-ghm4z,1,31
